NAME,SEX,AGE,DESCRIPTION,chip,contact name,contact info,area found
HEIDI (fostered),F/S,2,Gray tabby DSH,FALSE,shelter,contact shelter,unkown
PIXIE,M/N,6 mo,Black DSH,FALSE,shelter,contact shelter,unkown
DIXIE,M/N,6 mo,Black/white DSH,FALSE,shelter,contact shelter,unkown
SCOTT,M/N,6 mo,Black DSH,FALSE,shelter,contact shelter,unkown
RICKY,M/N,6 mo,Black DSH,FALSE,shelter,contact shelter,unkown
TULIP,F/S,1,Black DSH,FALSE,shelter,contact shelter,unkown
FUSHSIA,F/S,1,Black DSH,FALSE,shelter,contact shelter,unkown
MAGPIE,M/N,6 mo,Black/white DSH,FALSE,shelter,contact shelter,unkown
PARROT,M/N,6 mo,Black/white DSH,FALSE,shelter,contact shelter,unkown
DIEGO,M/N,3,Black DSH,FALSE,shelter,contact shelter,unkown
OHURA,F/S,2,Black/white DSH,FALSE,shelter,contact shelter,unkown
DAVEY,M/N,1,Orange tabby DSH,FALSE,shelter,contact shelter,unkown
FLIP,M/N,1,Brown tabby DSH,FALSE,shelter,contact shelter,unkown
STARDUST,F/S,2,White/black DMH,FALSE,shelter,contact shelter,unkown
RUBY ,F/S,6,Torbie DSH,FALSE,shelter,contact shelter,unkown
CHARLES,M/N,5,Black/white DSH,FALSE,shelter,contact shelter,unkown
COMET,M/N,9 mo,Gray/white DSH,FALSE,shelter,contact shelter,unkown
CASSIDY,F/S,6 mo,Gray tabby DSH,FALSE,shelter,contact shelter,unkown
LEONA,F/S,2,Black tortie DSH,FALSE,shelter,contact shelter,unkown
PUMA,F/S,1,Gray tabby DSH,FALSE,shelter,contact shelter,unkown
COPPER,M/N,3,Orange tabby DSH,FALSE,shelter,contact shelter,unkown
DOYLE,M/N,6 mo,Orange tabby DMH,FALSE,shelter,contact shelter,unkown
LITA,F/S,6 mo,Torbie/white DSH,FALSE,shelter,contact shelter,unkown
DURAN,M/N,6 mo,Black/white DSH,FALSE,shelter,contact shelter,unkown
LACUNA,F/S,6 mo,Torbie DSH,FALSE,shelter,contact shelter,unkown
BENATAR,F/S,6 mo,Torbie/white DSH,FALSE,shelter,contact shelter,unkown
BRINK,F/S,6 mo,Black/white DSH,FALSE,shelter,contact shelter,unkown
MARTHA,F/S,6 mo,Black/white DSH,FALSE,shelter,contact shelter,unkown
CARLY,F/S,6 mo,Tortie/white DSH,FALSE,shelter,contact shelter,unkown
SAGE,F/S,6 mo,Brown tabby DSH,FALSE,shelter,contact shelter,unkown
SANDY,F/S,6 mo,Torbie DSH,FALSE,shelter,contact shelter,unkown
GEM,F/S,6 mo,Torbie DSH,FALSE,shelter,contact shelter,unkown
LOCH,M/N,6 mo,Buff tabby DSH,FALSE,shelter,contact shelter,unkown
BENNY,M/N,6 mo,Gray tabby DSH,FALSE,shelter,contact shelter,unkown
CLOUD,F/S,6 mo,Gray/white DMH,FALSE,shelter,contact shelter,unkown
RAIN,F/S,6 mo,White/black DMH,FALSE,shelter,contact shelter,unkown
ISAAC,M/N,1,Orange tabby DMH,FALSE,shelter,contact shelter,unkown
LITTLE GIRL,F/S,6 mo,Brown tabby/white DSH,FALSE,shelter,contact shelter,unkown
DINAH,F/S,3,Himi Seal Point,FALSE,shelter,contact shelter,unkown
CALLIOPE,F/S,3,Calico DSH,FALSE,shelter,contact shelter,unkown
PETRO,M/N,1,Black DSH,FALSE,shelter,contact shelter,unkown
ALICE,F/S,7 mo,Black/white DSH,FALSE,shelter,contact shelter,unkown
EMILY,F/S,10,Gray/white DLH,FALSE,shelter,contact shelter,unkown
SAM,M/N,9 mo,Brown tabby/white DSH,FALSE,shelter,contact shelter,unkown
GATO,M/N,10,Black smoke DSH,FALSE,shelter,contact shelter,unkown
BOULDER,M/N,6,Black/white DMH,FALSE,shelter,contact shelter,unkown
LUCY,F/S ,2,Black/white DSH,FALSE,shelter,contact shelter,unkown
BARDOT,M/N,7,Tonkinese,FALSE,shelter,contact shelter,unkown
EULA/LULU (adopted),F/S,10,Black DMH,FALSE,shelter,contact shelter,unkown
MARCOS,M/N,5,Orange tabby/white DSH,FALSE,shelter,contact shelter,unkown
MIJA,F/S,3,Brown tabby/white DSH,FALSE,shelter,contact shelter,unkown
CORALINE,F/S,2,Brown tabby DLH,FALSE,shelter,contact shelter,unkown
SIR ELTON,M/N,8,Buff tabby DMH,FALSE,shelter,contact shelter,unkown
MAY,F/S,15,Gray smoke DSH,FALSE,shelter,contact shelter,unkown
SUNRISE,F/S,4,Gray tabby/white DSH,FALSE,shelter,contact shelter,unkown
GORDON,M/N,6,Gray tabby/white DSH,FALSE,shelter,contact shelter,unkown
CAMPBELL,M/N,2,Orange tabby/white DSH,FALSE,shelter,contact shelter,unkown
CUMBRE,M/N,6,Brown tabby/white DLH,FALSE,shelter,contact shelter,unkown
ALLISON,F,1,Gray torbie/white DSH,FALSE,shelter,contact shelter,unkown
DESIREE/ANGEL,F/S,5,Gray tabby DMH,FALSE,shelter,contact shelter,unkown
JUSTICIA,F/S,12,White/brown tabby DSH,FALSE,shelter,contact shelter,unkown
LOLA,F/S,2,Calico DSH,FALSE,shelter,contact shelter,unkown
STELLA,F/S,10+,Tortie DSH,FALSE,shelter,contact shelter,unkown
SHEILA,F,,Brown tabby DSH,FALSE,shelter,contact shelter,unkown